"Name","Locus","Pathway"
"Rv0650","Rv0650","mtu00010"
"pgi","Rv0946c","mtu00010"
"pfkB","Rv2029c","mtu00010"
"pfkA","Rv3010c","mtu00010"
"glpX","Rv1099c","mtu00010"
"fba","Rv0363c","mtu00010"
"tpi","Rv1438","mtu00010"
"gap","Rv1436","mtu00010"
"pgk","Rv1437","mtu00010"
"gpm1","Rv0489","mtu00010"
"eno","Rv1023","mtu00010"
"pykA","Rv1617","mtu00010"
"aceE","Rv2241","mtu00010"
"bkdA","Rv2497c","mtu00010"
"Rv0843","Rv0843","mtu00010"
"bkdB","Rv2496c","mtu00010"
"bkdC","Rv2495c","mtu00010"
"lpdC","Rv0462","mtu00010"
"Rv2455c","Rv2455c","mtu00010"
"Rv2454c","Rv2454c","mtu00010"
"adhB","Rv0761c","mtu00010"
"adhA","Rv1862","mtu00010"
"adhE1","Rv0162c","mtu00010"
"adh","Rv1530","mtu00010"
"aldA","Rv0768","mtu00010"
"Rv0147","Rv0147","mtu00010"
"Rv0223c","Rv0223c","mtu00010"
"pcd","Rv3293","mtu00010"
"Rv0458","Rv0458","mtu00010"
"acs","Rv3667","mtu00010"
"pgmA","Rv3068c","mtu00010"
"ppgK","Rv2702","mtu00010"
"pckA","Rv0211","mtu00010"
"Rv0650","Rv0650","mtu00010"
"pgi","Rv0946c","mtu00010"
"pfkB","Rv2029c","mtu00010"
"pfkA","Rv3010c","mtu00010"
"glpX","Rv1099c","mtu00010"
"fba","Rv0363c","mtu00010"
"tpi","Rv1438","mtu00010"
"gap","Rv1436","mtu00010"
"pgk","Rv1437","mtu00010"
"gpm1","Rv0489","mtu00010"
"eno","Rv1023","mtu00010"
"pykA","Rv1617","mtu00010"
"aceE","Rv2241","mtu00010"
"bkdA","Rv2497c","mtu00010"
"Rv0843","Rv0843","mtu00010"
"bkdB","Rv2496c","mtu00010"
"bkdC","Rv2495c","mtu00010"
"lpdC","Rv0462","mtu00010"
"Rv2455c","Rv2455c","mtu00010"
"Rv2454c","Rv2454c","mtu00010"
"adhB","Rv0761c","mtu00010"
"adhA","Rv1862","mtu00010"
"adhE1","Rv0162c","mtu00010"
"adh","Rv1530","mtu00010"
"aldA","Rv0768","mtu00010"
"Rv0147","Rv0147","mtu00010"
"Rv0223c","Rv0223c","mtu00010"
"pcd","Rv3293","mtu00010"
"Rv0458","Rv0458","mtu00010"
"acs","Rv3667","mtu00010"
"pgmA","Rv3068c","mtu00010"
"ppgK","Rv2702","mtu00010"
"pckA","Rv0211","mtu00010"
"citA","Rv0889c","mtu00020"
"gltA2","Rv0896","mtu00020"
"prpC","Rv1131","mtu00020"
"acn","Rv1475c","mtu00020"
"icd2","Rv0066c","mtu00020"
"icd1","Rv3339c","mtu00020"
