Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv0014c,pknB,15590,1881,serine/threonine-protein kinase PknB,708,Rv0014c.fasta
Rv0015c,pknA,17467,1296,serine/threonine-protein kinase PknA,568,Rv0015c.fasta
Rv0016c,pbpA,18759,1476,penicillin-binding protein PbpA,505,Rv0016c.fasta
Rv0017c,rodA,20231,1410,cell division protein RodA,526,Rv0017c.fasta
Rv0018c,pstP,21637,1545,phosphoserine/threonine phosphatase PstP,559,Rv0018c.fasta
Rv0019c,fhaB,23270,468,FHA domain-containing protein FhaB,154,Rv0019c.fasta
Rv0021c,,25913,969,hypothetical protein,452,Rv0021c.fasta
Rv0022c,whiB5,27023,420,transcriptional regulator WhiB5,211,Rv0022c.fasta
Rv0023,,27595,771,transcriptional regulator,371,Rv0023.fasta
Rv0024,,28362,846,NLP/P60 family protein,383,Rv0024.fasta
Rv0025,,29245,363,hypothetical protein,147,Rv0025.fasta
Rv0033,acpA,36607,264,acyl carrier protein AcpA,98,Rv0033.fasta
Rv0034,,36867,396,hypothetical protein,164,Rv0034.fasta
Rv0035,fadD34,37259,1689,fatty-acid--CoA ligase FadD34,718,Rv0035.fasta
Rv0036c,,39056,774,hypothetical protein,362,Rv0036c.fasta
Rv0037c,,39877,1326,MFS-type transporter,499,Rv0037c.fasta
Rv0038,,41304,609,hypothetical protein,184,Rv0038.fasta
Rv0039c,,42004,348,transmembrane protein,160,Rv0039c.fasta
Rv0040c,mtc28,42433,933,proline-rich protein,326,Rv0040c.fasta
Rv0041,leuS,43562,2910,leucine--tRNA ligase,1044,Rv0041.fasta
Rv0042c,,46581,627,transcriptional regulator,397,Rv0042c.fasta
Rv0043c,,47366,735,HTH-type transcriptional regulator,267,Rv0043c.fasta
Rv0044c,,48233,795,oxidoreductase,329,Rv0044c.fasta
Rv0045c,,49043,897,hydrolase,315,Rv0045c.fasta
Rv0046c,ino1,50021,1104,inositol-3-phosphate synthase,348,Rv0046c.fasta
Rv0047c,,51185,543,hypothetical protein,150,Rv0047c.fasta
Rv0048c,,51828,870,membrane protein,422,Rv0048c.fasta
Rv0049,,52831,414,hypothetical protein,139,Rv0049.fasta
Rv0050,ponA1,53663,2037,bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase,820,Rv0050.fasta
Rv0051,,55696,1683,transmembrane protein,654,Rv0051.fasta
Rv0052,,57410,564,hypothetical protein,230,Rv0052.fasta
Rv0053,rpsF,58192,291,30S ribosomal protein S6,104,Rv0053.fasta
Rv0054,ssb,58586,495,single-strand DNA-binding protein,157,Rv0054.fasta
Rv0055,rpsR1,59122,255,30S ribosomal protein S18,85,Rv0055.fasta
Rv0056,rplI,59409,459,50S ribosomal protein L9,163,Rv0056.fasta
Rv0058,dnaB,60396,2625,replicative DNA helicase,797,Rv0058.fasta
Rv0059,,63200,693,hypothetical protein,287,Rv0059.fasta
Rv0060,,63909,1059,hypothetical protein,303,Rv0060.fasta
Rv0061c,,65012,339,hypothetical protein,162,Rv0061c.fasta
Rv0062,celA1,65552,1143,cellulase CelA,518,Rv0062.fasta
Rv0063,,66923,1440,oxidoreductase,581,Rv0063.fasta
Rv0063a,,68418,162,hypothetical protein,83,Rv0063a.fasta
Rv0065,vapC1,71821,402,ribonuclease VapC1,163,Rv0065.fasta
Rv0066c,icd2,72274,2238,isocitrate dehydrogenase,659,Rv0066c.fasta
Rv0067c,,74629,570,transcriptional regulator,207,Rv0067c.fasta
Rv0068,,75301,912,oxidoreductase,393,Rv0068.fasta
Rv0069c,sdaA,76237,1386,L-serine dehydratase,435,Rv0069c.fasta
Rv0070c,glyA2,77619,1278,serine hydroxymethyltransferase,493,Rv0070c.fasta
Rv0075,,83996,1173,aminotransferase,427,Rv0075.fasta
Rv0076c,,85183,390,membrane protein,142,Rv0076c.fasta
Rv0077c,,85636,831,oxidoreductase,300,Rv0077c.fasta
Rv0078,,86528,606,transcriptional regulator,258,Rv0078.fasta
Rv0078A,,87208,594,hypothetical protein,189,Rv0078A.fasta
Rv0078B,,87798,207,hypothetical protein,83,Rv0078B.fasta
Rv0079,,88204,822,hypothetical protein,271,Rv0079.fasta
Rv0080,,89022,459,hypothetical protein,251,Rv0080.fasta
Rv0081,,89575,345,HTH-type transcriptional regulator,118,Rv0081.fasta
Rv0082,,89924,480,oxidoreductase,198,Rv0082.fasta
Rv0084,hycD,92328,951,formate hydrogenlyase HycD,294,Rv0084.fasta
Rv0085,hycP,93289,663,hydrogenase HycP,218,Rv0085.fasta
Rv0086,hycQ,93951,1467,hydrogenase HycQ,482,Rv0086.fasta
Rv0087,hycE,95414,1479,formate hydrogenase HycE,469,Rv0087.fasta
Rv0089,,97758,594,methyltransferase,237,Rv0089.fasta
Rv0090,,98480,771,membrane protein,316,Rv0090.fasta
Rv0091,mtn,99684,768,bifunctional 5'-methylthioadenosine nucleosidase /S-adenosylhomocysteine nucleosidase,262,Rv0091.fasta
Rv0092,ctpA,100583,2286,cation transporter ATPase A,753,Rv0092.fasta
Rv0097,,106734,870,oxidoreductase,195,Rv0097.fasta
Rv0098,fcoT,107600,552,fatty acyl CoA thioesterase FcoT,158,Rv0098.fasta
